english,russian
abolish,упразднить
abortion,аборт
absence,отсутствие
absent,отсутствует
absorb,"поглощать, впитывать"
abstract,абстрактный
absurd,абсурдный
abundance,изобилие
abuse,злоупотребление
academy,академия
accelerate,ускорить
accent,акцент
acceptance,принятие
accessible,доступный
accidentally,случайно
accommodate,разместить
accomplish,"выполнить, достичь, осуществить"
accomplishment,"достижение, свершение"
accordance,соответствие
accordingly,соответственно
accountability,подотчетность
accountable,подотчетный
accountant,бухгалтер
accumulate,накапливать
accumulation,накопление
accuracy,точность
accurately,точно
accusation,обвинение
accused,обвиняемый
acid,кислота
acquisition,приобретение
acre,акр
activate,активировать
activation,активация
activist,активист
acute,острый
adaptation,адаптация
addiction,зависимость
additionally,дополнительно
adequate,"адекватный, достаточный"
adequately,адекватно
adhere,придерживаться
adjacent,прилегающая территория
adjust,настроить
adjustment,"регулировка, настройка"
administer,управлять
administrative,административный
administrator,администратор
admission,"поступление, зачисление, допуск"
adolescent,подросток
adoption,усыновление
adverse,неблагоприятный
advocate,адвокат
aesthetic,"эстетика, эстетический"
affection,"привязанность, симпатия, любовь"
affordable,доступный
aftermath,последствия
aggression,агрессия
agricultural,сельскохозяйственный
agriculture,сельское хозяйство
aide,помощник
AIDS,СПИД
albeit,хотя и
alert,"оповещение, оповестить, бдительный"
alien,инопланетянин
align,выравнивать
alignment,выравнивание
alike,"похожие, одинаково"
allegation,утверждение
allege,утверждать
allegedly,предположительно
alliance,альянс
allocate,выделить
allocation,распределение
allowance,пособие
ally,союзник
alongside,"рядом с, наряду с, параллельно с"
altogether,"в целом, вообще"
aluminium,алюминий
amateur,"любитель, любительский"
ambassador,посол
ambulance,скорая помощь
amend,вносить изменения
amendment,поправки
amid,"среди, между"
amusing,"забавный, смешной"
analogy,аналогия
analyst,аналитик
ancestor,предок
anchor,"якорь, ведущий, бросить якорь"
angel,ангел
animation,анимация
annually,ежегодно
anonymous,аноним
anticipate,"предвидеть, ожидать"
anxiety,беспокойство
apology,извинения
apparatus,"аппарат, устройство"
appealing,привлекательный
appetite,аппетит
applaud,аплодировать
applicable,применимый
applicant,"заявитель, кандидат"
appoint,назначать
appreciation,"благодарность, признательность, оценка"
appropriately,соответствующим образом
arbitrary,произвольный
architectural,архитектурный
archive,архив
arena,арена
arguably,"возможно, вероятно"
arm,вооружиться
array,"массив, множество, масса"
arrow,стрела
articulate,"артикулировать, выразить, сформулировать"
artwork,произведение искусства
ash,"зола, пепел"
aside,"в сторону, отступление"
aspiration,"аспирация, стремление, сильное желание"
aspire to,стремиться к
assassination,убийство
assault,"нападение, штурм, насилие"
assemble,собрать
assembly,"монтаж, сборка, ассамблея, собрание, сборочный"
assert,"утверждать, заявлять"
assertion,"утверждение, заявление"
asset,актив
assign,назначить
assistance,помощь
assumption,"предположение, допущение"
assurance,"заверение, гарантия, обеспечение"
assure,"заверить, убедить, уверить"
astonishing,"удивительный, поразительный"
asylum,убежище
atrocity,"зверство, злодеяние"
attachment,"вложение, приложение"
attain,"достичь, получить, добиться"
attendance,"посещаемость, посещение"
attorney,"адвокат, прокурор, поверенный"
attribute,"атрибут, приписывать, связывать"
auction,"аукцион, аукционный, продавать с аукциона"
audio,звук
audit,"аудит, проверка, мероприятие по контролю"
authentic,"подлинный, настоящий"
authorize,разрешить
auto,автомобиль
automatic,автоматический
automatically,автоматически
autonomy,"автономия, независимость"
availability,наличие
await,ожидать
awareness,"осознанность, осведомленность, информированность"
awkward,"неловкий, неуклюжий, неловко, нелепо, нелепый, неловкость"
backdrop,"фон, задний план"
backing,поддержка
backup,"резервная копия, резервный"
badge,"значок, жетон"
bail,"залог, поручительство"
balanced,сбалансированный
ballet,балет
balloon,воздушный шар
ballot,"бюллетень, голосование"
banner,"баннер, плакат"
bare,"голый, пустой"
barely,"едва, лишь, редко"
bargain,"выгодная сделка, выгодное предложение"
barrel,"баррель нефти, бочка"
basement,подвал
basket,"корзина, класть в корзину"
bass,"бас, окунь, низкий"
bat,"летучая мышь, биться"
battlefield,поле боя
bay,"залив, бухта"
beam,"луч, балка, сиять, широко улыбаться"
beast,зверь
behalf,от имени
beloved,"любимый, любимая, возлюбленный, возлюбленная"
bench,"скамья, стенд, лавка"
benchmark,"эталон, образец"
beneath,"под, низко, внизу"
beneficial,"выгодный, полезный, выгодно, полезно"
beneficiary,"бенефициар, выгодополучатель"
beside,"рядом с, около, возле"
besides,"кроме, кроме того, помимо"
betray,предавать
bias,"предвзятость, предубеждение"
bid,"заявка, предложение"
